Datetime,Location,Item,TransactionQty
01/16/19 07:42:49 PM,L1,I5,-80
01/16/20 03:25:13 PM,L1,I3,-100
01/16/20 03:25:52 PM,L1,I8,-40
01/16/20 04:03:22 PM,L1,I4,-100
01/16/20 04:07:12 PM,L1,I1,-160
01/16/20 04:07:27 PM,L1,I5,-80
01/16/20 04:07:35 PM,L1,I9,-80
01/16/20 04:07:42 PM,L1,I10,-80
01/17/18 01:29:35 PM,L1,I1,-120
01/17/18 01:29:42 PM,L1,I6,-80
01/17/18 01:30:10 PM,L1,I4,-100
01/17/19 01:39:46 PM,L1,I2,-41.5
01/17/19 01:40:12 PM,L1,I9,-30
01/17/19 01:40:21 PM,L1,I1,-80
01/17/19 01:43:54 PM,L1,I2,-41
01/17/22 05:58:03 PM,L1,I10,-80
01/17/22 05:59:53 PM,L1,I10,-40
01/17/22 06:07:02 PM,L1,I4,-100
01/17/22 06:08:51 PM,L1,I9,-40
01/17/22 06:09:00 PM,L1,I6,-40
01/17/22 06:11:04 PM,L1,I8,-40
01/17/22 06:11:33 PM,L1,I2,-40
01/17/22 06:20:55 PM,L1,I7,-30
01/17/22 07:45:48 PM,L1,I1,-200
01/17/22 07:45:59 PM,L1,I10,-40
01/18/18 01:52:49 PM,L1,I1,-40
01/18/18 01:54:32 PM,L1,I3,-100
01/18/18 01:55:44 PM,L1,I5,-80
01/18/18 07:11:23 PM,L1,I2,-50
01/18/18 07:15:06 PM,L1,I4,-100
01/18/21 02:38:44 PM,L1,I2,-30
01/18/21 02:39:07 PM,L1,I3,-100
01/18/21 02:45:12 PM,L1,I6,-80
01/18/21 02:45:20 PM,L1,I10,-160
01/18/21 02:45:25 PM,L1,I1,-160
01/18/21 02:45:46 PM,L1,I9,-40
01/18/21 02:45:52 PM,L1,I1,-120
01/18/21 02:46:00 PM,L1,I10,-120
01/18/21 02:46:06 PM,L1,I6,-80
01/18/21 02:46:12 PM,L1,I8,-40
01/19/21 01:00:46 PM,L1,I7,-30
01/19/21 01:01:01 PM,L1,I8,-40
01/19/21 01:24:46 PM,L1,I8,-80
01/19/21 01:25:13 PM,L1,I8,-40
01/19/21 04:57:06 PM,L1,I4,-100
01/19/21 04:57:34 PM,L1,I8,-40
01/19/22 08:42:48 PM,L1,I6,-40
01/19/22 08:42:57 PM,L1,I9,-80
01/19/22 08:43:06 PM,L1,I1,-120
01/20/20 05:13:10 PM,L1,I6,-80
01/20/20 05:13:25 PM,L1,I7,-30
01/20/20 05:14:56 PM,L1,I1,-160
01/20/20 05:15:02 PM,L1,I9,-80
01/20/20 05:15:09 PM,L1,I2,-40
01/20/21 05:49:35 PM,L1,I8,-320
01/20/21 12:34:43 PM,L1,I2,-40.5
01/20/21 12:35:30 PM,L1,I3,-100
01/20/21 12:55:23 PM,L1,I1,-120
01/20/21 12:55:33 PM,L1,I8,-40
01/20/21 12:57:07 PM,L1,I1,-160
01/20/21 12:57:15 PM,L1,I10,-80
01/20/22 02:37:03 PM,L1,I2,-40
01/20/22 02:37:25 PM,L1,I10,-40
01/21/19 02:11:39 PM,L1,I1,-120
01/21/19 02:11:51 PM,L1,I6,-40
01/21/19 03:51:14 PM,L1,I2,-41.125
01/21/19 03:51:22 PM,L1,I3,-100
01/21/19 03:51:30 PM,L1,I4,-100
01/21/20 03:23:44 PM,L1,I10,-120
01/21/20 03:23:50 PM,L1,I1,-80
01/21/20 03:24:25 PM,L1,I2,-40
01/21/20 03:24:31 PM,L1,I3,-200
01/21/20 06:21:14 PM,L1,I6,-80
01/21/20 06:21:22 PM,L1,I9,-80
01/21/20 06:21:29 PM,L1,I1,-120
01/21/20 06:24:04 PM,L1,I4,-100
01/21/21 06:21:30 PM,L1,I7,-30
01/21/21 06:25:17 PM,L1,I1,-160
01/21/21 06:25:25 PM,L1,I10,-120
01/21/21 06:25:47 PM,L1,I9,-80
01/21/21 06:28:03 PM,L1,I6,-120
01/21/21 06:28:54 PM,L1,I1,-80
01/21/21 06:30:31 PM,L1,I4,-100
01/21/21 06:31:31 PM,L1,I8,-40
01/22/18 01:28:28 PM,L1,I3,-200
01/22/18 01:29:21 PM,L1,I1,-120
01/22/18 01:29:38 PM,L1,I6,-80
01/22/18 01:29:47 PM,L1,I5,-80
01/22/18 01:29:55 PM,L1,I7,-30
01/22/18 01:30:43 PM,L1,I3,-100
01/22/18 01:35:16 PM,L1,I1,-40
01/22/18 01:35:30 PM,L1,I5,-40
01/22/18 04:47:10 PM,L1,I5,-120
01/22/19 01:04:50 PM,L1,I1,-160
01/22/19 01:05:08 PM,L1,I7,-30
01/22/19 01:05:14 PM,L1,I6,-80
01/22/19 06:43:21 PM,L1,I4,-100
01/22/19 06:43:30 PM,L1,I3,-100
01/22/19 06:51:05 PM,L1,I6,-2
01/22/20 06:58:50 PM,L1,I10,-80
01/22/20 06:59:03 PM,L1,I1,-80
01/22/20 12:23:55 PM,L1,I1,-120
01/22/20 12:24:04 PM,L1,I9,-80
01/22/22 01:03:46 PM,L1,I3,-100
01/22/22 01:04:33 PM,L1,I3,-100
01/22/22 01:04:40 PM,L1,I4,-100
01/22/22 01:07:07 PM,L1,I8,-80
01/22/22 01:13:03 PM,L1,I10,-80
01/22/22 01:13:09 PM,L1,I1,-160
01/22/22 01:13:23 PM,L1,I6,-40
01/22/22 01:13:50 PM,L1,I8,-40
01/22/22 01:26:56 PM,L1,I4,-200
01/22/22 01:27:27 PM,L1,I1,-40
01/22/22 01:27:34 PM,L1,I10,-80
01/22/22 02:39:14 PM,L1,I7,-40
01/22/22 02:39:20 PM,L1,I1,-160
01/22/22 02:39:35 PM,L1,I10,-40
01/23/18 01:14:10 PM,L1,I1,-120
01/23/18 01:14:20 PM,L1,I6,-80
01/23/19 04:11:08 PM,L1,I3,-100
01/23/19 04:14:59 PM,L1,I1,-120
01/23/19 04:15:12 PM,L1,I5,-40
01/23/19 04:15:32 PM,L1,I8,-80
01/23/19 04:15:49 PM,L1,I3,-100
01/23/19 07:52:37 PM,L1,I1,-80
01/23/20 04:21:42 PM,L1,I7,-76
01/23/20 04:21:50 PM,L1,I6,-120
01/23/20 04:22:25 PM,L1,I8,-40
01/23/20 04:22:49 PM,L1,I3,-100
01/23/20 04:22:56 PM,L1,I1,-120
01/23/20 04:23:19 PM,L1,I10,-40
01/23/20 04:27:57 PM,L1,I10,-40
01/23/20 04:28:03 PM,L1,I9,-40
01/23/20 04:28:22 PM,L1,I2,-40
01/23/21 01:50:25 PM,L1,I6,-120
01/23/21 01:50:50 PM,L1,I9,-40
01/23/21 01:51:08 PM,L1,I8,-40
01/24/18 06:40:38 PM,L1,I6,-40
01/24/18 06:40:45 PM,L1,I1,-40
01/24/18 06:55:52 PM,L1,I5,-120
01/24/18 07:20:34 PM,L1,I5,-80
01/24/18 07:20:42 PM,L1,I6,-80
01/24/18 07:20:50 PM,L1,I1,-80
01/24/18 07:22:15 PM,L1,I3,-100
01/25/18 01:14:08 PM,L1,I3,-200
01/25/21 04:35:18 PM,L1,I4,-100
01/25/21 04:50:48 PM,L1,I8,-40
01/25/21 04:51:32 PM,L1,I1,-200
01/25/21 04:51:47 PM,L1,I6,-64
01/25/21 04:51:54 PM,L1,I10,-80
01/25/21 04:52:06 PM,L1,I9,-40
01/25/21 05:00:49 PM,L1,I1,-160
01/25/21 05:00:55 PM,L1,I5,-80
01/25/21 05:01:04 PM,L1,I6,-80
01/25/21 05:01:26 PM,L1,I10,-120
01/25/21 05:01:56 PM,L1,I4,-100
01/25/21 05:02:40 PM,L1,I2,-40
01/25/21 05:02:55 PM,L1,I3,-100
01/25/21 05:17:54 PM,L1,I8,-80
01/26/18 09:25:45 AM,L1,I1,-120
01/26/18 09:25:54 AM,L1,I5,-120
01/26/18 09:26:07 AM,L1,I6,-120
01/26/18 09:44:55 AM,L1,I3,-100
01/26/18 09:47:05 AM,L1,I2,-41
01/26/18 09:48:36 AM,L1,I6,-40
01/26/21 07:01:06 PM,L1,I1,-160
01/26/21 07:01:31 PM,L1,I10,-80
01/26/22 02:52:31 PM,L1,I1,-120
01/26/22 02:52:39 PM,L1,I10,-40
01/26/22 02:53:02 PM,L1,I6,-40
01/26/22 02:53:10 PM,L1,I9,-40
01/26/22 02:53:44 PM,L1,I4,-100
01/26/22 03:33:38 PM,L1,I2,-33
01/26/22 03:34:45 PM,L1,I4,-100
01/26/22 03:39:24 PM,L1,I2,-40
01/26/22 03:44:55 PM,L1,I1,-80
01/26/22 03:45:57 PM,L1,I9,-40
01/26/22 03:47:09 PM,L1,I1,-80
01/26/22 03:49:01 PM,L1,I10,-80
01/27/20 05:23:11 PM,L1,I1,-200
01/27/20 05:23:51 PM,L1,I5,-40
01/27/20 05:23:58 PM,L1,I8,-40
01/27/20 05:43:30 PM,L1,I2,-45
01/27/20 05:43:47 PM,L1,I3,-200
01/27/21 02:32:05 PM,L1,I6,-68
01/27/21 02:32:11 PM,L1,I2,-79
01/27/21 02:32:23 PM,L1,I3,-100
01/27/21 02:33:49 PM,L1,I7,-30
01/27/21 07:42:51 PM,L1,I4,-100
01/28/19 03:18:35 PM,L1,I7,-33
01/28/19 03:20:15 PM,L1,I6,-40
01/28/19 03:20:22 PM,L1,I5,-40
01/28/19 03:20:31 PM,L1,I1,-40
01/28/19 03:22:24 PM,L1,I9,-120
01/28/19 03:27:04 PM,L1,I2,-40
01/28/19 03:51:57 PM,L1,I4,-100
01/28/19 04:34:21 PM,L1,I1,-160
01/28/19 04:37:50 PM,L1,I6,-80
01/28/19 07:44:03 PM,L1,I10,-120
01/28/19 07:44:11 PM,L1,I1,-80
01/28/19 07:44:19 PM,L1,I9,-80
01/28/19 07:44:26 PM,L1,I5,-40
01/28/20 03:40:32 PM,L1,I1,-40
01/28/20 03:50:22 PM,L1,I10,-80
01/28/20 03:50:31 PM,L1,I6,-86
01/28/20 03:50:38 PM,L1,I9,-80
01/28/20 03:50:46 PM,L1,I1,-80
01/28/21 01:04:08 PM,L1,I8,-80
01/28/21 01:04:30 PM,L1,I1,-160
01/28/21 01:04:58 PM,L1,I6,-80
01/28/21 01:05:07 PM,L1,I9,-80
01/28/21 01:05:40 PM,L1,I8,-40
01/28/22 06:35:51 PM,L1,I4,-200
01/28/22 06:36:21 PM,L1,I2,-40
01/28/22 06:37:41 PM,L1,I3,-100
01/28/22 07:06:12 PM,L1,I6,-40
01/28/22 07:06:20 PM,L1,I1,-80
01/28/22 07:06:52 PM,L1,I10,-80
01/28/22 07:20:00 PM,L1,I10,-80
01/28/22 07:20:14 PM,L1,I1,-80
01/29/18 02:13:08 PM,L1,I5,-120
01/29/18 02:13:31 PM,L1,I1,-80
01/29/18 02:14:15 PM,L1,I7,-30
01/29/18 02:18:15 PM,L1,I5,-40
01/29/18 02:19:36 PM,L1,I3,-100
01/29/18 05:01:40 PM,L1,I6,-120
01/29/19 04:27:26 PM,L1,I3,-100
01/29/19 04:27:54 PM,L1,I4,-100
01/29/19 07:39:11 PM,L1,I2,-40
01/29/19 07:39:30 PM,L1,I1,-120
01/29/19 07:39:42 PM,L1,I10,-120
01/29/19 07:39:54 PM,L1,I9,-40
01/29/20 03:32:43 PM,L1,I9,-40
01/29/20 03:32:50 PM,L1,I7,-30
01/29/20 03:33:14 PM,L1,I3,-100
01/29/20 03:55:04 PM,L1,I1,-120
01/29/20 03:55:10 PM,L1,I10,-80
01/29/20 03:55:32 PM,L1,I6,-80
01/29/20 03:58:43 PM,L1,I4,-200
01/29/20 03:59:40 PM,L1,I1,-80
01/29/22 09:47:28 PM,L1,I5,-40
01/29/22 09:47:36 PM,L1,I1,-120
01/29/22 09:48:17 PM,L1,I10,-40
01/29/22 09:48:25 PM,L1,I9,-40
01/29/22 09:48:33 PM,L1,I7,-30
01/29/22 09:49:04 PM,L1,I6,-40
01/30/18 02:10:38 PM,L1,I3,-100
01/30/18 02:16:48 PM,L1,I5,-120
01/30/18 02:17:10 PM,L1,I6,-40
01/30/18 06:55:06 PM,L1,I1,-40
01/30/18 06:58:23 PM,L1,I5,-120
01/30/18 06:58:31 PM,L1,I1,-120
01/30/18 06:58:38 PM,L1,I6,-80
01/30/19 06:15:00 PM,L1,I1,-120
01/30/19 07:38:07 PM,L1,I1,-80
01/30/19 07:38:13 PM,L1,I10,-40
01/30/19 07:38:29 PM,L1,I9,-80
01/30/20 03:53:59 PM,L1,I9,-80
01/30/20 04:03:44 PM,L1,I1,-200
01/30/20 04:16:33 PM,L1,I10,-80
01/30/20 04:16:54 PM,L1,I5,-40
